,격자고유구역,NUMPOINTS,x,y,visited,index
29171,다사599652,0,599,652,False,50666
29172,다사603449,0,603,449,False,50640
29173,다사603434,0,603,434,False,50638
29174,다사605468,1,605,468,False,50610
29175,다사604535,0,604,535,False,50623
29176,다사605485,0,605,485,False,50611
29177,다사605489,1,605,489,False,50612
29178,다사605492,0,605,492,False,50613
29179,다사605496,0,605,496,False,50614
29180,다사605518,1,605,518,False,50615
29181,다사605522,0,605,522,False,50616
29182,다사605536,0,605,536,False,50617
29183,다사605539,1,605,539,False,50618
29184,다사605448,0,605,448,False,50619
29185,다사604637,0,604,637,False,50620
29186,다사604470,1,604,470,False,50621
29187,다사604499,0,604,499,False,50622
29188,다사604589,0,604,589,False,50624
29189,다사603582,1,603,582,False,50637
29190,다사604593,0,604,593,False,50625
29191,다사604397,0,604,397,False,50626
29192,다사604418,0,604,418,False,50627
29193,다사604443,0,604,443,False,50628
29194,다사603605,0,603,605,False,50629
